Date,Open,High,Low,Close,Adj Close,Volume
2019-09-13,531.450012,535.275024,527.200012,534.599976,518.565491,895456
2019-09-16,543.000000,543.000000,528.325012,534.924988,518.880737,93638
2019-09-17,533.500000,533.500000,523.224976,528.150024,512.308899,272816
2019-09-18,534.299988,534.299988,525.375000,528.924988,513.060669,47948
2019-09-19,539.000000,539.000000,516.424988,524.575012,508.841095,88218
2019-09-20,524.575012,531.500000,518.974976,524.849976,509.107941,142728
2019-09-23,534.000000,534.000000,508.575012,516.200012,500.717377,172570
2019-09-24,520.500000,525.900024,511.524994,523.674988,507.968170,82696
2019-09-25,527.375000,530.924988,522.375000,526.974976,511.169128,54524
2019-09-26,527.250000,527.250000,516.674988,522.424988,506.755615,72154
2019-09-27,522.500000,526.625000,516.875000,520.650024,505.033905,123466
2019-09-30,516.875000,548.375000,516.875000,540.250000,524.046021,218638
2019-10-01,542.299988,542.299988,526.500000,529.924988,514.030640,174162
2019-10-03,529.500000,544.900024,526.875000,538.750000,522.591003,413258
2019-10-04,540.000000,540.450012,532.625000,539.224976,523.051758,30216
2019-10-07,544.799988,545.150024,534.599976,537.075012,520.966248,221938
2019-10-09,537.099976,537.099976,520.325012,525.450012,509.689911,50666
2019-10-10,526.000000,532.849976,521.000000,531.825012,515.873718,65450
2019-10-11,528.900024,544.924988,521.250000,540.075012,523.876221,167022
2019-10-14,540.075012,549.900024,537.325012,543.525024,527.222839,44676
2019-10-15,544.299988,549.500000,540.525024,542.049988,525.792114,61702
2019-10-16,540.500000,553.500000,540.500000,550.424988,533.915833,33676
2019-10-17,550.500000,550.500000,542.275024,546.450012,530.059998,27312
2019-10-18,551.500000,552.825012,544.125000,547.950012,531.515076,44854
2019-10-22,547.525024,547.525024,525.875000,532.224976,516.261658,621476
2019-10-23,539.000000,552.025024,535.950012,547.825012,531.393860,171592
2019-10-24,580.000000,580.000000,555.950012,559.275024,542.500427,407728
2019-10-25,563.500000,568.500000,549.500000,566.974976,549.969421,96926
2019-10-27,null,null,null,null,null,null
2019-10-29,567.500000,572.500000,564.150024,569.950012,552.855225,169080
2019-10-30,574.500000,574.900024,569.049988,573.075012,555.886475,54826
2019-10-31,574.950012,584.750000,569.099976,581.674988,565.214844,103324
2019-11-01,579.500000,583.474976,571.724976,575.450012,559.165955,66404
2019-11-04,575.650024,583.125000,575.650024,577.599976,561.255188,84164
2019-11-05,577.599976,580.299988,571.724976,579.125000,562.736938,212406
2019-11-06,579.000000,579.125000,570.775024,574.049988,557.805603,608122
2019-11-07,575.000000,576.750000,568.025024,574.299988,558.048462,114124
2019-11-08,574.625000,581.875000,573.000000,575.049988,558.777283,360818
2019-11-11,575.049988,575.674988,565.125000,573.049988,556.833923,184480
2019-11-13,575.000000,580.000000,567.250000,571.549988,555.376343,105738
2019-11-14,570.299988,578.750000,567.525024,574.275024,558.024292,42402
2019-11-15,574.000000,579.500000,570.000000,571.849976,555.667786,100178
2019-11-18,572.500000,574.974976,569.500000,570.650024,554.501831,21778
2019-11-19,569.500000,571.500000,564.700012,567.349976,551.295166,21154
2019-11-20,565.525024,568.599976,562.875000,566.325012,550.299194,32624
2019-11-21,565.775024,574.099976,565.775024,568.200012,552.121216,66188
2019-11-22,569.000000,569.000000,554.724976,557.875000,542.088379,681694
2019-11-25,558.349976,563.049988,553.299988,562.349976,546.436646,21808
2019-11-26,562.500000,567.000000,549.299988,555.099976,539.391846,214224
2019-11-27,556.224976,567.299988,555.000000,564.450012,548.477295,64856
2019-11-28,570.000000,571.500000,562.950012,566.325012,550.299194,91240
2019-11-29,571.000000,571.000000,562.500000,563.799988,547.845581,408402
2019-12-02,567.500000,567.500000,561.900024,563.049988,547.116943,334074
2019-12-03,566.000000,566.000000,560.500000,562.299988,546.388184,85422
2019-12-04,568.000000,568.000000,558.500000,562.900024,546.971252,157820
2019-12-05,566.000000,566.750000,557.299988,560.750000,544.882019,72520
2019-12-06,562.000000,566.200012,558.450012,560.200012,544.347595,44069
2019-12-09,561.000000,563.049988,547.250000,551.650024,536.039490,72479
2019-12-10,558.799988,558.799988,542.000000,544.299988,528.897400,41964
2019-12-11,544.299988,549.900024,539.900024,543.849976,528.460144,39421
2019-12-12,546.000000,547.200012,535.000000,536.299988,521.123840,56399
2019-12-13,539.099976,544.200012,537.000000,543.349976,527.974304,43356
2019-12-16,547.000000,555.049988,546.549988,552.299988,536.671082,98613
2019-12-17,554.000000,559.250000,553.049988,557.500000,541.723999,35719
2019-12-18,560.000000,566.700012,559.049988,564.700012,548.720154,460088
2019-12-19,565.500000,573.950012,565.000000,569.049988,552.947021,158549
2019-12-20,572.500000,573.250000,565.799988,571.299988,555.133423,197842
2019-12-23,569.500000,575.000000,567.000000,571.349976,555.181946,23222
